time,ecg
1710814956361,78
1710814956369,68
1710814956377,49
1710814956385,73
1710814956393,85
1710814956400,100
1710814956408,110
1710814956416,98
1710814956423,95
1710814956431,122
1710814956439,132
1710814956446,122
1710814956454,122
1710814956462,139
1710814956469,161
1710814956477,174
1710814956485,174
1710814956492,176
1710814956500,193
1710814956508,203
1710814956515,203
1710814956523,215
1710814956531,233
1710814956537,245
1710814956545,220
1710814956553,186
1710814956561,179
1710814956569,149
1710814956577,85
1710814956584,61
1710814956592,58
1710814956600,29
1710814956608,17
1710814956615,26
1710814956623,12
1710814956631,-4
1710814956638,22
1710814956646,26
1710814956654,-31
1710814956661,-46
1710814956669,-2
1710814956677,-4
1710814956684,-24
1710814956692,9
1710814956700,24
1710814956707,12
1710814956715,31
1710814956723,51
1710814956729,41
1710814956737,44
1710814956745,58
1710814956753,46
1710814956761,36
1710814956769,44
1710814956776,46
1710814956784,49
1710814956792,63
1710814956799,56
1710814956807,41
1710814956815,56
1710814956822,58
1710814956830,39
1710814956838,46
1710814956845,71
1710814956853,73
1710814956861,73
1710814956868,85
1710814956876,78
1710814956884,66
1710814956891,78
1710814956899,90
1710814956907,71
1710814956915,44
1710814956921,44
1710814956929,61
1710814956937,66
1710814956945,73
1710814956953,78
1710814956961,80
1710814956968,98
1710814956976,171
1710814956984,375
1710814956991,672
1710814956999,787
1710814957007,424
1710814957014,-203
1710814957022,-387
1710814957030,-105
1710814957037,2
1710814957045,-44
1710814957053,24
1710814957060,63
1710814957068,31
1710814957076,41
1710814957083,76
1710814957091,80
1710814957099,80
1710814957105,93
1710814957113,105
1710814957121,107
1710814957129,110
1710814957137,115
1710814957145,112
1710814957152,117
1710814957160,134
1710814957168,147
1710814957175,159
1710814957183,169
1710814957191,157
1710814957199,157
1710814957206,181
1710814957214,206
1710814957222,211
1710814957229,213
1710814957237,215
1710814957245,188
1710814957252,152
1710814957260,130
1710814957268,98
1710814957275,63
1710814957283,34
1710814957291,-2
1710814957297,-19
1710814957305,0
1710814957313,22
1710814957321,22
1710814957329,17
1710814957337,24
1710814957344,39
1710814957352,51
1710814957360,56
1710814957367,53
1710814957375,56
1710814957383,58
1710814957390,66
1710814957398,76
1710814957406,78
1710814957413,80
1710814957421,93
1710814957429,98
1710814957436,95
1710814957444,98
1710814957452,95
1710814957459,88
1710814957467,90
1710814957475,95
1710814957481,98
1710814957489,105
1710814957497,105
