time,ppg
1710815000025,1658552
1710815000065,1659704
1710815000105,1660158
1710815000145,1660609
1710815000187,1661155
1710815000227,1661883
1710815000267,1664041
1710815000307,1666252
1710815000348,1668749
1710815000392,1671198
1710815000431,1671517
1710815000472,1671564
1710815000512,1671538
1710815000552,1670630
1710815000593,1670211
1710815000632,1670681
1710815000673,1671011
1710815000713,1671242
1710815000753,1670614
1710815000794,1669395
1710815000834,1667834
1710815000874,1666277
1710815000914,1665176
1710815000955,1665406
1710815000995,1666764
1710815001035,1670504
1710815001075,1676521
1710815001115,1682705
1710815001156,1679702
1710815001199,1677417
1710815001238,1677895
1710815001279,1678916
1710815001319,1679961
1710815001359,1680627
1710815001400,1681166
1710815001440,1680910
1710815001479,1679688
1710815001520,1678728
1710815001560,1678758
1710815001601,1679589
1710815001642,1680557
1710815001682,1679857
1710815001722,1679397
1710815001762,1678637
1710815001803,1677872
1710815001843,1677424
1710815001883,1676921
1710815001923,1676311
1710815001963,1675709
1710815002004,1675154
1710815002044,1673536
1710815002084,1670204
1710815002124,1666036
1710815002164,1663870
1710815002205,1662095
1710815002245,1662047
1710815002285,1663907
1710815002325,1665143
1710815002365,1664182
1710815002406,1661053
1710815002446,1659583
1710815002486,1659066
1710815002526,1659191
1710815002567,1659007
1710815002608,1658429
1710815002649,1658296
1710815002691,1658646
1710815002731,1658098
1710815002773,1655435
1710815002814,1651632
1710815002854,1649363
1710815002894,1648399
1710815002934,1646534
1710815002975,1644603
1710815003016,1643376
1710815003055,1641977
1710815003095,1640720
1710815003136,1639367
1710815003176,1637890
1710815003217,1636354
1710815003256,1634934
1710815003297,1633893
1710815003337,1633110
1710815003376,1630885
1710815003415,1626296
1710815003454,1621206
1710815003493,1616138
1710815003532,1613894
1710815003571,1614667
1710815003610,1616713
1710815003649,1614864
1710815003688,1611536
1710815003727,1611408
1710815003766,1611928
1710815003805,1612080
1710815003844,1611394
1710815003883,1610256
1710815003922,1609812
1710815003961,1609814
1710815004000,1610175
1710815004040,1610522
1710815004080,1609268
1710815004120,1608324
1710815004160,1606843
1710815004200,1603823
1710815004240,1601566
1710815004280,1599358
1710815004320,1597863
1710815004360,1597018
1710815004400,1596286
1710815004440,1595334
1710815004480,1594341
1710815004520,1594218
1710815004560,1594329
1710815004600,1594011
1710815004640,1593215
1710815004680,1592460
1710815004720,1589517
1710815004760,1585881
1710815004800,1585371
1710815004840,1586219
1710815004880,1586571
1710815004920,1583846
1710815004960,1583339
1710815005000,1585591
1710815005040,1588694
1710815005080,1591375
1710815005120,1593502
1710815005160,1594968
1710815005200,1596199
1710815005240,1596859
1710815005280,1597247
1710815005320,1597955
1710815005360,1600583
1710815005400,1603864
1710815005440,1602515
1710815005480,1598168
1710815005520,1593474
1710815005560,1589529
1710815005600,1587317
1710815005640,1586330
1710815005680,1586333
1710815005720,1586972
1710815005760,1588792
1710815005800,1591047
1710815005840,1591902
1710815005880,1591344
1710815005920,1591622
1710815005960,1592047
1710815006000,1591250
1710815006040,1592701
1710815006080,1597100
1710815006120,1601728
1710815006160,1602577
1710815006200,1600201
1710815006240,1597951
1710815006280,1597900
