time,ppg
1710812391582,2051459
1710812391622,2051165
1710812391662,2051760
1710812391702,2052005
1710812391742,2051459
1710812391783,2050708
1710812391822,2050285
1710812391862,2050482
1710812391902,2051663
1710812391942,2052833
1710812391983,2054483
1710812392023,2055994
1710812392063,2057654
1710812392103,2059421
1710812392143,2058117
1710812392184,2052649
1710812392223,2046739
1710812392263,2042587
1710812392303,2040719
1710812392344,2040143
1710812392384,2040423
1710812392424,2040720
1710812392464,2040311
1710812392504,2039529
1710812392544,2039255
1710812392585,2039385
1710812392624,2040457
1710812392664,2041819
1710812392705,2043460
1710812392744,2045271
1710812392785,2047290
1710812392825,2049210
1710812392865,2051178
1710812392905,2050074
1710812392945,2045162
1710812392986,2039738
1710812393025,2036361
1710812393065,2034891
1710812393105,2034896
1710812393145,2035469
1710812393186,2035981
1710812393226,2035895
1710812393266,2035523
1710812393306,2035641
1710812393346,2036254
1710812393387,2037489
1710812393426,2039280
1710812393466,2041282
1710812393506,2043081
1710812393547,2045305
1710812393587,2047275
1710812393627,2049394
1710812393667,2050871
1710812393707,2048158
1710812393747,2043377
1710812393788,2039458
1710812393827,2037710
1710812393867,2037410
1710812393908,2038141
1710812393948,2039327
1710812393988,2040071
1710812394028,2040139
1710812394068,2040184
1710812394108,2040605
1710812394148,2041883
1710812394189,2043456
1710812394229,2045363
1710812394269,2047495
1710812394309,2049695
1710812394349,2051874
1710812394390,2054087
1710812394429,2056337
1710812394469,2058073
1710812394509,2056057
1710812394549,2052274
1710812394590,2049228
1710812394630,2048188
1710812394670,2048620
1710812394710,2050202
1710812394750,2051835
1710812394791,2052736
1710812394830,2053287
1710812394871,2053700
1710812394911,2054572
1710812394951,2055882
1710812394992,2057751
1710812395031,2059779
1710812395071,2062032
1710812395111,2064289
1710812395151,2066564
1710812395192,2068801
1710812395232,2071082
1710812395272,2072463
1710812395312,2070516
1710812395352,2067375
1710812395393,2065248
1710812395432,2064964
1710812395472,2065839
1710812395512,2067608
1710812395552,2069436
1710812395593,2070562
1710812395633,2071332
1710812395673,2071850
1710812395713,2072870
1710812395753,2074261
1710812395794,2076022
1710812395834,2078105
1710812395874,2080167
1710812395914,2082323
1710812395954,2084541
1710812395995,2086684
1710812396034,2088411
1710812396074,2087791
1710812396115,2085376
1710812396155,2083221
1710812396196,2082629
1710812396235,2083239
1710812396275,2084784
1710812396315,2086766
1710812396355,2088349
1710812396396,2089074
1710812396436,2089810
1710812396476,2090618
1710812396516,2091675
1710812396556,2093253
1710812396597,2094981
1710812396636,2096822
1710812396677,2098751
1710812396717,2100782
1710812396757,2102720
1710812396798,2103042
1710812396837,2100816
1710812396877,2098438
1710812396918,2096910
1710812396958,2096841
1710812396998,2097998
1710812397038,2099879
1710812397078,2101291
1710812397118,2102100
1710812397158,2102640
1710812397199,2103184
1710812397238,2103838
1710812397278,2105067
1710812397318,2106560
1710812397359,2108126
1710812397399,2109850
1710812397439,2111591
1710812397479,2113109
1710812397519,2111710
1710812397559,2108290
1710812397600,2105165
1710812397639,2103441
1710812397679,2103359
1710812397719,2104230
1710812397760,2105325
1710812397800,2106152
1710812397840,2106170
1710812397880,2105918
1710812397920,2105877
1710812397960,2106476
1710812398001,2107298
1710812398040,2108448
